text,label
"[Web발신] CJ대한통운 고객님의 택배가 주소지 불명으로 보관중입니다. 주소 재확인 http://cj-parcel.info/kr","delivery"
"[국제발신] 통관번호 불일치로 물품이 세관에 보류되었습니다. 확인 bit.ly/3xKcus","delivery"
"고객님 부재중으로 물품 배송이 실패하였습니다. 재배송 신청 http://post-kr.top/re","delivery"
"[Web발신] 우체국 등기 미수령 안내드립니다. 오늘까지 미확인시 반송처리됩니다 http://epostkr.duckdns.org","delivery"
"택배기사입니다 주소가 잘못되어있어서요 여기로 다시 입력해주세요 http://cjlogi.cc/addr","delivery"
"[롯데택배] 운송장번호 조회불가 상품입니다. 정보수정 요망 http://lotte-cs.net","delivery"
"고객님의 상품이 배송지연중입니다. 앱 설치 후 실시간 조회하세요 http://parcel-app.apk","delivery"
"[Web발신] 한진택배 배송조회 오류 발생. 수취인 정보 확인 필요 http://hanjin-check.xyz","delivery"
"세관 통관 절차가 중단되었습니다. 관세 3,200원 미납. 납부하기 http://customs-pay.info","delivery"
"[국제발신] DHL 배송물품 주소지 오류로 반송예정입니다 확인바랍니다 http://dhl-kr.link","delivery"
"물품보관함에 택배가 도착했습니다. 인증번호 확인 http://locker-kr.top/1287","delivery"
"[Web발신] 배송기사 연락두절 상태입니다. 아래 링크에서 수령지 변경하세요 http://deliv-fix.cc","delivery"
"주문하신 상품 배송 불가 지역입니다. 환불 신청 http://refund-parcel.net","delivery"
"[Web발신] 오늘 배송 예정 물품 1건 미확인. 클릭 후 본인인증 필요 http://kr-parcel.icu","delivery"
"택배 반송 3일 경과, 폐기 예정입니다. 즉시 확인 http://return-box.top","delivery"
"[CJ대한통운] 송장번호 오류로 배송이 중단되었습니다 http://cj-fix.duckdns.org/re","delivery"
"고객님 앞으로 온 등기우편물이 있습니다 수령확인 http://mail-kr.click","delivery"
"[Web발신] 배송지 주소 변경 요청이 접수되었습니다. 본인이 아닐 경우 즉시 신고 http://addr-report.xyz","delivery"
"[검찰청] 귀하는 금융범죄 사건에 연루되어 조사가 필요합니다. 담당 검사 02-XXX-XXXX 연락바랍니다","institution"
"[Web발신] 금융감독원입니다. 귀하 명의 계좌가 대포통장으로 이용되고 있습니다. 즉시 연락요망","institution"
"[경찰청] 사이버수사대입니다. 귀하의 명의도용 신고가 접수되었습니다 http://police-kr.info","institution"
"서울중앙지방검찰청 출석요구서가 발송되었습니다. 미출석시 체포영장 청구 http://spo-doc.top","institution"
"[국세청] 종합소득세 환급금 328,400원이 있습니다. 계좌 등록 http://nts-refund.cc","institution"
"[Web발신] 국민건강보험공단 미환급금 조회 안내 http://nhis-check.xyz","institution"
"법원 지급명령 결정문이 송달되었습니다. 이의신청 기한 7일 http://court-kr.link","institution"
"[금융감독원] 불법 자금세탁 계좌로 확인되어 자산 보호 절차가 필요합니다. 안전계좌로 이체하세요","institution"
"[질병관리청] 역학조사 대상자로 확인되었습니다. 아래 링크에서 정보 입력 http://kdca-form.top","institution"
"귀하의 개인정보가 범죄에 이용되었습니다. 검찰 사건번호 2024형제12345 확인 http://case-check.cc","institution"
"[Web발신] 교통법규 위반 과태료 미납 안내. 즉시 납부하지 않으면 압류 진행 http://gwataeryo.info","institution"
"국세청 세무조사 대상 통지서입니다. 자료 미제출시 가산세 부과 http://tax-audit.xyz","institution"
"[경찰청] 귀하의 통장이 보이스피싱에 사용되었습니다. 수사 협조 위해 통화 필요합니다","institution"
"병무청 입영통지 관련 확인 필요합니다 링크 접속하여 신원 확인 http://mma-kr.top","institution"
"[Web발신] 대법원 전자소송 문서 도달 알림. 열람하기 http://scourt-doc.click","institution"
"고용노동부 실업급여 부정수급 조사 대상입니다. 소명자료 제출 http://moel-form.cc","institution"
"[정부24] 본인 명의 인증서가 타지역에서 발급되었습니다. 확인 http://gov24-kr.info","institution"
"[Web발신] 국민연금공단 미납내역 안내. 즉시 확인하지 않으면 재산조회 http://nps-check.top","institution"
"[Web발신] 정부지원 서민대출 최저 2.1% 당일승인 가능합니다. 상담 신청 http://loan-kr.top","financial"
"고객님 신용등급 상향으로 대환대출 대상자로 선정되었습니다. 한도조회 010-XXXX-XXXX","financial"
"무담보 무보증 최대 5000만원 당일입금 가능. 지금 상담 http://money-fast.cc","financial"
"[국민행복기금] 채무통합 지원 대상자 안내. 신청기한 오늘까지 http://happy-fund.xyz","financial"
"신용점수 낮아도 승인 가능합니다. 카톡 상담 ID: loanking77","financial"
"[Web발신] 카드론 대환 진행 위해 기존 대출금 일부 상환이 필요합니다. 안내계좌로 입금바랍니다","financial"
"[특별대환] 코로나 소상공인 정책자금 신청 마감 임박 http://sbiz-fund.top","financial"
"고객님 대출 승인되었으나 신용등급 작업비 30만원 선입금이 필요합니다","financial"
"[Web발신] 신한은행 사칭 아님. 저금리 갈아타기 무료상담 http://bank-switch.link","financial"
"연 3.5% 직장인 신용대출 사전승인 완료. 링크에서 서류 제출 http://credit-ok.cc","financial"
"[Web발신] 카드 한도 상향 대상자입니다. 본인확인 후 즉시 적용 http://card-limit.top","financial"
"급전 필요하신 분 신분증만 있으면 즉시 입금. 문의 010-XXXX-XXXX","financial"
"[햇살론] 서민금융진흥원 저금리 지원 대상 확인 http://sunshine-loan.info","financial"
"기존 대출 상환 이력 좋아 우대금리 적용 가능합니다. 앱 설치 후 진행 http://loanapp.apk","financial"
"[Web발신] 채무조정 신용회복 무료상담. 지금 신청하면 이자 감면 http://debt-fix.xyz","financial"
"대출 실행 전 보증보험료 입금이 필요합니다. 입금 후 즉시 송금됩니다","financial"
"[Web발신] 마이너스통장 사전한도 조회 결과 도착 http://minus-check.cc","financial"
"엄마 나 폰 액정 깨져서 수리 맡겼어 이 번호로 톡 보내줘","acquaintance"
"아빠 나 지금 폰이 고장나서 컴퓨터로 연락하는거야 급한일 있어","acquaintance"
"엄마 나 지금 인증이 안돼서 그런데 신분증이랑 카드 사진 좀 찍어서 보내줘","acquaintance"
"엄마 급하게 친구한테 보낼 돈이 있는데 지금 이체가 안돼 대신 좀 보내줄 수 있어?","acquaintance"
"나 폰 수리중이라 원격으로 처리해야해 이 앱 설치하고 알려준대로 해줘","acquaintance"
"엄마 문화상품권 30만원어치만 사서 핀번호 사진 찍어 보내줘 나중에 줄게","acquaintance"
"저 000인데요 번호 바뀌었어요 저장 부탁드려요 급한 부탁이 있어서요","acquaintance"
"형 나 지금 계좌가 정지돼서 그런데 200만원만 잠깐 빌려줄 수 있어?","acquaintance"
"엄마 나 지금 통화 못해 톡으로만 얘기하자 급해","acquaintance"
"여보 나 회사 법인카드 문제가 생겨서 급하게 입금해야 하는데 도와줘","acquaintance"
"이모 저 조카예요 폰 바꿔서 연락드려요 부탁드릴게 있어요","acquaintance"
"엄마 인증번호 하나 갈텐데 그거 좀 알려줘 내가 지금 인증이 안돼","acquaintance"
"나 지금 밖이라 은행 못가 계좌번호 보낼테니까 500만 넣어줘 저녁에 갚을게","acquaintance"
"아빠 나 사고쳤어 합의금 필요한데 지금 당장 보내줘야해 아무한테도 말하지마","acquaintance"
"선배 저 후배인데요 번호 바뀌었습니다 잠깐 부탁 하나만 드려도 될까요","acquaintance"
"엄마 나 폰 액정 나가서 대리점 왔는데 결제가 안돼 카드번호 좀 불러줘","acquaintance"
"[Web발신] VIP 리딩방 무료체험 3일. 어제 수익률 87% 인증 http://open.kakao/leading","investment"
"원금보장 월 15% 확정수익 상품 마감 임박. 상담 http://coin-vip.top","investment"
